nome_cliente;date;alunos_ativos;total_em_recibo_venda;total_em_recebiveis;total_valor_cartao_credito_maquina;total_valor_cartao_credito_recorrencia;total_conta_pagar
ACADEMIA LB ESPORTES;2020/01;407;86118;52630;18761;895;7883
TopFlex Academia;2020/01;192;14398;13119;1658;1929;10907
CHINA TEAM;2020/01;59;10507;7881;347;1889;0
Conquiste Saúde;2020/01;494;62667;50678;392;32875;49811
Academia VIVA+;2020/01;448;47659;36380;18556;163;40734
OMNI ACADEMIA;2020/01;219;26466;25546;6339;14455;2499
IMPERIO FITNESS;2020/01;105;7213;7015;213;0;0
Academia Mbrasil;2020/01;781;79093;69577;26040;1795;14581
StrongerFit;2020/01;483;52380;52380;0;0;0
ACADEMIA SHAPE;2020/01;310;27140;27228;1906;16000;0
BODY ONE FIT;2020/01;336;78257;36839;5657;7723;8565
Cia da Forma;2020/01;574;65643;58994;18305;5673;0
UNDER PRESSURE;2020/01;181;21174;19289;3704;2780;14354
Espaço Mov;2020/01;32;22763;27117;0;0;30409
ACADEMIA CORPORYUM;2020/01;545;58187;40708;7961;22008;51386
Academia Sparta fit;2020/01;29;5506;4189;1898;0;3287
FIT COMPANY (FILIAL);2020/01;783;98265;64282;35969;2885;46161
Bona Crossfit;2020/01;275;47751;46835;2724;12425;40187
NATSU ACADEMIA;2020/01;468;72378;59183;8018;0;0
Greenfit Academia;2020/01;291;28915;23572;2524;4929;0
Via Água Club;2020/01;345;80462;74706;13177;0;58960
Elton Marinato Studio Funcional;2020/01;52;10059;9026;0;0;2631
PER4MANCE ACADEMIA;2020/01;263;35255;30218;3872;0;0
FORCE FITNESS;2020/01;274;28959;26395;3232;0;551
07 PHD SPORTS - PEDRO IVO - CENTRO 436;2020/01;331;29612;28467;3088;12587;24475
Battlefield Gym;2020/01;49;14572;7265;2969;2063;0
CrossFit Lion's Fire;2020/01;133;44754;26155;8934;10807;8197
Vitae Academia;2020/01;310;32333;24088;7202;0;3167
Crossfit V6;2020/01;245;61686;55908;35021;0;51951
EFFICIENCY GYM;2020/01;403;61836;41349;10592;0;0
09 PHD SPORTS - GUABIROTUBA 453;2020/01;516;59311;61873;1870;44342;44605
UPLAY FITNESS - GUARAPUAVA;2020/01;1424;200433;119673;76640;777;0
FIVE ONE FITNESS;2020/01;380;69271;48865;21632;8427;467
Alliance Lago Norte;2020/01;28;15583;7323;3804;0;0
OnLife Funcional Fitness Clube;2020/01;289;50180;46771;1402;9039;78798
ESPAÇO ATIVO PILATES;2020/01;39;11360;10963;1813;3762;0
XTREME FIGHT & FITNESS;2020/01;223;26320;20842;5317;0;0
DASFIT TREINAMENTO FUNCIONAL;2020/01;99;26813;27121;7819;6052;16385
INSANIT GYM;2020/01;70;12237;10047;4313;1267;18078
FLAME POLE STUDIO;2020/01;39;11470;11470;0;0;0
UPLAY FITNESS - PINHAIS;2020/01;861;136175;86434;38064;2872;111495
19 PHD SPORTS - LEOPOLDO JACOMEL - PINHAIS 495;2020/01;736;90946;82086;10255;35516;65813
EAGLES CROSS TRAINING;2020/01;114;14360;13347;5200;0;0
Ecolife Saude;2020/01;51;33162;26205;12741;1475;0
Flow Inn Estudio;2020/01;3;3582;3150;0;0;5977
FIT PREMIUM - MERCES;2020/01;386;74883;62958;36593;17438;656
ACADEMIA GIGAFIT;2020/01;287;54535;31356;8783;0;0
Cl Fitness;2020/01;27;17750;19153;0;0;764
Academia Via Mulher;2020/01;108;8538;8265;2480;610;4169
Academia Max Sports;2020/01;199;15619;14392;218;0;144
WM FItness;2020/01;973;78257;90199;34481;35627;15707
CROSS EXTRA HARD;2020/01;154;23874;22712;0;0;0
ACADEMIA CGE;2020/01;485;44574;41321;4728;0;33171
Una Studio;2020/01;21;8332;9371;0;8293;0
Crossfit Kerberos;2020/01;91;31542;22606;12876;0;28836
Studio Personality;2020/01;30;10160;9723;0;3823;0
Graciosa Country Club;2020/01;544;0;0;0;0;0
WM HEALTH;2020/01;288;25503;33894;19226;5382;11409
F2 Academia;2020/01;111;28466;22863;3575;0;30601
Joy - Treinamento Funcional e Pilates;2020/01;37;6631;5890;0;0;6
Moove Treinamento Funcional;2020/01;37;8750;7193;1863;2637;1717
Academia Body Fit - Unidade 1;2020/01;337;52406;41598;17859;1059;2508
KOMANDOS BRASILFIT;2020/01;92;7124;7005;0;3533;0
UP! Fitness;2020/01;369;33633;31417;5079;0;0
RH PRO STUDIO;2020/01;146;29699;28528;0;7625;21715
Studio Chronos Panamby;2020/01;54;11585;23775;13138;0;0
Crossfit Silver Lake;2020/01;60;14620;18429;0;0;18286
IMA;2020/01;44;5381;5538;0;1924;0
STRONGER CROSS;2020/01;52;8483;7642;363;4092;0
ESCOLINHA DE FUTEBOL AMÉRICA;2020/01;100;5860;9765;6067;890;0
EQUILIBRIUM SPRADA;2020/01;714;57901;50243;3426;21051;849
Cerrado Crossfit;2020/01;53;14412;14391;0;0;0
Fênix Centro de Treinamento;2020/01;39;7194;6906;1172;0;3272
03 PHD SPORTS - SANTA QUITÉRIA 902;2020/01;621;59933;56703;1641;35383;43486
WS NATAÇÃO;2020/01;596;132361;99418;37946;0;72567
Vstrong;2020/01;136;30960;27972;1996;15575;32862
Forseti Centro de Treinamento;2020/01;235;29477;25101;1712;4316;21283
02 PHD SPORTS - REBOUÇAS 940;2020/01;756;79071;76186;7025;41800;52778
01 PHD SPORTS - BACACHERI 945;2020/01;373;31751;30651;3330;19638;20961
Clínica do Movimento;2020/01;47;11865;11865;0;0;4110
Academia S5;2020/01;333;26745;25314;0;3883;0
MB ASSESSORIA ESPORTIVA;2020/01;35;4879;4879;0;0;0
CrossFit City Wolves;2020/01;211;35581;42577;22127;0;39912
M1 FITNESS CENTER;2020/01;259;54989;50296;1940;24513;0
TOPLIFE ACADEMIA;2020/01;191;21390;17175;7133;0;336
Nobre Arte Academia de Boxe;2020/01;157;43937;83479;11383;0;57493
Academia Fitness Plus;2020/01;365;44609;36492;1327;27233;0
EQUILIBRIUM FERRARIA;2020/01;506;43321;39240;536;21401;0
CrossFit Vingadores;2020/01;167;25230;22245;0;8560;0
CF Piumhi;2020/01;150;38792;38792;0;0;0
ACADEMIA SMART FIT;2020/01;295;26940;35742;5568;0;18977
Black Box Training;2020/01;83;14572;17431;291;10281;0
CROSSFIT HARDBREAK;2020/01;134;34717;34567;8350;12172;35238
ARENA ONE ACADEMIA;2020/01;337;53361;36208;6325;7326;13876
PROFIT STUDIO;2020/01;152;53982;110540;11062;0;114544
Academia Oxy Place;2020/01;894;111672;109199;45130;37781;121697
Break Limits;2020/01;55;16515;18697;1962;4071;4377
Corpo funcional cross;2020/01;67;7350;7874;4749;0;0
HIIT FITNESS;2020/01;153;12795;9225;842;232;10402
K2 Itacorubi;2020/01;74;22916;21444;0;2386;20458
Tribo Fitness Chácara;2020/01;51;15521;14032;5180;897;0
Eik? Artes Marciais;2020/01;157;29122;25487;6884;0;20944
Academia Quality Body;2020/01;356;40850;31498;18436;0;4150
CROSSFIT FIRE HAWKS;2020/01;53;18261;18091;1810;12437;14833
studio fitness monise glatzl;2020/01;46;51877;25584;12680;0;28114
Viva Pilates SP;2020/01;17;2188;5609;0;0;0
Vibe Cross Training;2020/01;35;5063;5051;0;152;0
EVOLUA IÇARA;2020/01;58;15597;15473;0;0;7377
TRIBO GUARUJÁ;2020/01;142;24703;21352;68;15078;19069
Focus Academia;2020/01;590;51181;50650;1947;36690;0
Santé Treinamento Funcional;2020/01;166;56241;54414;0;45780;0
Head Office;2020/01;288;29776;26295;3049;0;0
Academia La Santé!;2020/01;78;20927;17410;0;0;0
Tribo Fitness Mesquita;2020/01;163;27448;26809;2925;14416;0
Elite Cross;2020/01;73;14961;12339;1914;0;5840
Clínica Fitness D2;2020/01;104;35203;34275;0;7506;31921
Novo Futuro Studio;2020/01;18;10491;11607;0;3557;1463
MOV CLUBE FITNESS;2020/01;67;17472;11539;5275;0;17693
TIA ILKA - ALPHAVILLE;2020/01;230;96087;49563;26729;0;39164
PRIX;2020/01;786;92118;73492;6790;26606;0
Evolua Morro da Fumaça;2020/01;47;8760;8847;0;0;7644
Yôga School;2020/01;123;57288;42661;10118;0;0
UPLAY FITNESS - AV BRASILIA;2020/01;671;109947;72540;27504;35378;77814
TIA ILKA - UNIDADE OESTE;2020/01;392;117556;89675;44683;0;67255
Academia World Fitness;2020/01;176;24912;24374;0;4848;0
Movimento A Instituto de Saúde Física e Mental;2020/01;73;14920;11149;2479;316;0
MegaRace Centro Fitness;2020/01;218;35195;36798;953;9926;24087
Hama Pilates Premium;2020/01;89;44278;37590;1252;0;44692
max training;2020/01;112;16074;18382;4976;5740;6306
DOMINIO FITNESS;2020/01;1451;77766;83678;59058;0;27994
H2o Studio - Treinamento funcional e Pilates;2020/01;108;32716;51522;23546;0;7311
Crossfit Maringá 2;2020/01;57;11009;10312;425;5452;8521
Shamu Natação;2020/01;213;46986;32517;10396;0;7222
WA Danças - Unidade Paulista;2020/01;345;93054;83275;14663;42186;17375
Penduricália Acrobacia Aérea;2020/01;44;10632;10632;0;0;15587
CROSSTAINER;2020/01;151;32404;29791;5066;5824;28776
Unidade Glória - RTesser Life Studio;2020/01;38;19336;18101;0;0;0
Meu Personal de Bolso;2020/01;22;1764;1764;0;0;0
BOX SE7E;2020/01;83;12370;12117;0;450;12758
JAB L.U.T.A.S.;2020/01;164;32105;32194;20918;338;21880
Akacia Amarela;2020/01;26;7070;7070;0;0;0
Plié Namastê Studio;2020/01;41;12610;12610;0;0;0
FORMA FITNESS ACADEMIA;2020/01;78;3940;3940;0;0;0
Primal Cross;2020/01;30;11735;11735;0;0;0
Steel Giants;2020/01;163;17396;27304;13315;5660;1381
Armel CrossFit;2020/01;153;52698;46853;1889;32522;45216
Split Pole Studio;2020/01;17;7582;7178;0;0;3941
CROSSFIT PARAGUAÇU;2020/01;76;12355;12355;0;0;0
Studio Latos Pilates;2020/01;17;13294;8824;0;0;0
Tribo - Vale do Sol;2020/01;150;18065;18242;0;2078;0
Viva Bem;2020/01;18;1217;1217;0;0;0
CT Evox;2020/01;60;11994;9854;2810;0;0
Tribo fitness Unidade Curvelo;2020/01;52;42840;42993;0;1799;903
Pratique Cross;2020/01;58;6923;6240;314;0;4258
Academia Body Fit - Unidade 2;2020/01;575;116923;75077;33317;0;2946
13 PHD SPORTS - VIP - CAJURU 1630;2020/01;307;33238;30938;622;17996;3058
KOR CROSSFIT 2;2020/01;55;15721;14564;0;12957;60610
CF SOLDIERS;2020/01;62;20656;10449;4039;1907;22429
NEOFITNESS;2020/01;410;81909;90843;29752;0;5377
Soc Emp Alive Studios LTDA;2020/01;41;7757;7898;566;4795;9439
Instituto Verbalize;2020/01;62;12895;11025;840;7390;14641
LIFIT TRAINING - A. RATOS;2020/01;76;9909;12517;1704;7445;11746
Barong Crossfit;2020/01;95;25677;20121;4908;3506;17183
Flashover Bancários;2020/01;150;20635;22085;3038;6311;23373
Núcleo 7 Esferas do Tao;2020/01;99;17878;18970;510;9066;19573
Studio Personal Trainer Mogi - Adão Silva;2020/01;82;17166;11362;5434;1563;2815
Gym Pilates - Alphaville;2020/01;88;28113;28795;0;0;0
CT SEARA - Vôlei de praia;2020/01;19;4196;3926;0;0;0
ABS Studio Personalizado;2020/01;23;9950;7522;399;0;0
Acqua Fitness;2020/01;596;182709;78233;54151;3048;136794
Pura Vida Pilates;2020/01;77;27625;28657;0;0;0
PROLOGUE Box CrossFit;2020/01;116;31114;36081;0;11790;29758
Crossfire;2020/01;147;21828;16059;9585;99;10705
BABY GYM - ACADEMIA PARA BEBÊS;2020/01;26;10889;6082;1012;1776;0
Corpilates – Equilíbrio e Saúde;2020/01;81;42473;29725;19611;0;29699
Alive Natação;2020/01;78;18925;19975;1179;0;0
Up Fit Studio Personal Trainer;2020/01;17;3947;3910;0;0;3840
Clube Náutico Riachuelo;2020/01;10;7301;7073;0;235;992
Juninho Tennis;2020/01;103;55463;52390;4151;28466;36476
CENTRAL FITNESS;2020/01;427;46061;45598;4511;11872;4087
Vsa fitness;2020/01;235;21355;21355;0;0;0
Tribo Fitness São Carlos;2020/01;16;8003;7963;0;0;0
Maisstreino;2020/01;65;16174;14025;0;9968;289
11 PHD SPORTS - UBERABA 1833;2020/01;341;38049;37811;3297;20777;26614
HJ Fitness;2020/01;1116;124252;126095;32618;38138;54247
Osy Fit - Maracana;2020/01;782;124576;102956;30940;0;31179
Oasis Academia;2020/01;556;54317;44673;1372;25184;45883
TRIBO FITNESS ANGRA;2020/01;178;20036;19080;0;1001;0
Cityvida Capão Bonito;2020/01;538;50070;46770;13709;4473;3931
Power Training;2020/01;95;10259;10259;0;0;109
Boa forma studio personal e treinamento funcional;2020/01;77;16904;16744;0;0;4878
Cross1Fit;2020/01;39;10926;10918;0;6278;7435
CFP9 CasaShopping;2020/01;446;157553;159038;8328;134663;132158
Academia Ramirez;2020/01;90;14309;13619;1819;1158;6219
MAFIA CF CROSSTRAINING;2020/01;38;7754;5227;1870;0;16163
BABY GYM;2020/01;16;7066;6898;4392;182;0
AKTIVE CENTRO DE SAUDE E BEM ESTAR;2020/01;250;25150;25150;0;0;0
EMAGREFIT;2020/01;43;14340;14563;0;0;8060
KOR CrossFit;2020/01;164;52813;111822;0;34639;106366
Academia Bio Fitness;2020/01;922;144525;85369;28885;559;60828
centro de treinamento body & soul;2020/01;38;15334;13735;0;8719;0
Tribo fitness unidade Belém;2020/01;110;15876;15934;0;1875;0
CT BOLA PRA CIMA;2020/01;73;4820;4648;0;0;0
Kahu CrossFit;2020/01;117;37867;35066;0;17221;0
Elleven Futebol Studio;2020/01;111;15571;18955;5609;6995;0
STUDIO BROOK FIGHTER;2020/01;63;15416;8883;4589;0;3863
Saúde e fitness;2020/01;77;14063;14063;0;0;1625
VIVA ACADEMIA DE NATAÇÃO E HIDROGINÁSTICA;2020/01;101;42301;21347;5999;0;449
UNIDADE 1 ITAPARK;2020/01;447;47032;41923;18264;1588;0
JSJ ESPORTES E ENTRETENIMENTO LTDA;2020/01;178;34106;31344;7317;0;29415
MOREIRA FIT I;2020/01;40;6014;6100;0;0;327
ACADEMIA COLISEO;2020/01;922;93995;84473;1887;51950;52376
Elite fitness e Lutas;2020/01;62;380;380;0;0;0
Studio Angelo Molina;2020/01;60;19330;16805;0;13463;0
UPEX FIT;2020/01;611;105815;70389;41726;0;74356
SOU PILATES;2020/01;44;12413;12542;0;0;6404
2103;2020/01;0;0;0;;;
Intense Fitness Itabira;2020/01;115;25344;24827;2403;602;18629
Unit55 CrossFit;2020/01;162;36555;43900;85;23269;51219
CROSSBOX;2020/01;107;11645;12025;0;1406;80
OSY FIT - Guaraituba;2020/01;494;78506;58062;21354;0;14346
Centro de Treinamento Team Cruz;2020/01;175;36625;30035;1234;16198;0
ARENA EKO;2020/01;108;17488;20724;415;6942;18903
I9 CROSSFIT;2020/01;91;36745;25081;1579;9533;24244
Estúdio Andréa Schaidt;2020/01;21;5770;5770;0;0;0
Bravus centro de treinamento;2020/01;111;18203;15691;511;4684;0
Fit House;2020/01;82;10673;10191;0;3308;2960
Centro de Natação Camboriú;2020/01;235;38218;34323;7200;1950;36987
Grupo Joyce Fitness;2020/01;151;44608;39820;2515;0;41588
CFJM;2020/01;140;40376;26927;5745;10518;30186
ACADEMIA R2;2020/01;425;77657;47140;38465;436;0
Studio Funcional 360 Studio;2020/01;137;15239;13655;3094;6819;0
Studio Nataraja Flow Yoga;2020/01;75;101508;40157;14148;1449;63843
Tribo fitness São luis Maranhão;2020/01;60;9811;7502;1613;0;0
BIOTRAINING;2020/01;303;38421;31582;12859;0;21128
Academia Black Bull Fit;2020/01;329;39651;35516;11708;12421;7091
Vitta Physio;2020/01;61;14951;11544;4445;0;4595
Arena;2020/01;71;9199;11379;6202;0;0
Vessel CrossFit;2020/01;97;30628;31324;1859;8302;35533
Studio Core - Saúde & Performance;2020/01;42;12221;11827;0;3774;11445
BODYFIT - Movimente-se!;2020/01;201;21805;21805;0;0;0
CROSSFIT ESTIVADORES;2020/01;179;42626;29958;18091;0;29241
Focus Gym;2020/01;240;22292;17273;4250;0;10943
EDER PIRES RUN & FITNESS ASSESSORIA;2020/01;75;7011;8157;1497;0;900
Crossfit 6450;2020/01;131;38620;26351;3198;10170;35272
Cross Let's Wod Americana;2020/01;199;20162;18609;774;13844;0
Bodytrend;2020/01;0;4943;6061;0;0;0
Extremo vigor academia;2020/01;284;25389;23632;5028;0;1380
ATP ENERGY ACADEMIA;2020/01;182;22704;18378;2971;7487;23806
Fort Cross;2020/01;191;37888;32115;3728;0;27954
Academia Vita FIT;2020/01;127;11474;9339;240;2154;7996
HI Power Fitness Center;2020/01;235;38767;33549;3859;0;10544
Crossfit 79;2020/01;133;57107;58865;10766;31723;0
Tubarão CrossFit;2020/01;156;32019;27848;15208;0;24360
Crossfit Invictus MG;2020/01;73;8953;12037;7489;0;0
RIP HUMAN PERFORMANCE - ÁGUA VERDE;2020/01;55;7377;8033;2661;3737;4699
STUDIO ÃNANDDA;2020/01;151;65287;57968;28883;7275;52764
CrossFit Guepardo;2020/01;206;54299;258834;31722;20121;233846
Academia Vibe;2020/01;205;18912;12797;2945;0;4788
32 PHD SPORTS - JARDIM DA AMERICAS;2020/01;394;37352;34203;2949;15790;33360
Musculação Estivadores;2020/01;210;24482;20300;9621;1521;0
CrossTx;2020/01;49;10460;10460;0;0;0
CROSSFIT LP;2020/01;118;19962;18542;4967;0;15985
OverFit;2020/01;482;43140;37635;5163;9732;25348
Crossfit Caçadores;2020/01;124;39055;39055;0;0;0
SER ATIVO - STUDIO E ASSESSORIA ESPORTIVA;2020/01;45;8549;7155;0;3880;0
26 PHD SPORTS - Boqueirão 2647;2020/01;261;26844;24261;4767;427;0
Mangata Crossfit;2020/01;166;32241;30035;15071;0;0
Arbo Crossfit;2020/01;274;76014;63582;9735;35885;0
Muscle Room;2020/01;64;15678;11335;3003;4644;5232
Yoga OM;2020/01;53;23273;23757;363;6594;0
Eiger Crossfit;2020/01;67;14910;15565;1000;10565;19011
Pilates OldSchool;2020/01;26;4951;4931;0;0;0
Brolex Body Studio;2020/01;232;74763;42068;22722;0;0
Academia Force Fit;2020/01;275;24142;22556;1658;0;18723
ACADEMIA DUQUE DE CAXIAS;2020/01;1191;0;0;0;0;0
Studio Gil Pilates;2020/01;35;18720;12577;11045;0;0
CROSSFIT CRISTO REI;2020/01;87;33266;18218;15950;0;0
CARDIO FITNESS TREINAMENTO FUNCIONAL;2020/01;50;9795;9752;0;0;0
Acqua life baby&kids;2020/01;217;43594;38377;2481;24449;16334
Personal Diogo Machado;2020/01;54;4335;4335;0;0;0
Studio Evolution Fitness;2020/01;353;63188;50119;10185;0;34800
Condá CrossFit;2020/01;209;48283;56300;4530;25490;29498
Prime Fit;2020/01;510;72975;64854;15440;5734;18615
Baby Gym Bento;2020/01;25;4229;3978;274;1268;40
cosenza team;2020/01;35;2390;2914;654;0;770
Crossfit Beach 787;2020/01;238;55622;52651;10834;2310;36297
Rizerva Zen;2020/01;25;1341;7456;6122;0;2830
Reino CrossFit;2020/01;77;27829;29824;0;1752;22457
Espaço One;2020/01;0;56752;57369;12886;0;5782
5FTraining;2020/01;47;15142;11447;729;6880;17779
Fisiform;2020/01;314;100054;57559;34261;125;0
Academia Mahatma;2020/01;1046;131056;118435;83759;0;70931
PRIME SHAPE;2020/01;448;50901;40644;8120;0;0
Corpus Cristo Rei;2020/01;391;39839;35085;6678;11946;0
ACADEMIA MC SPORTS;2020/01;1031;193031;199453;74173;0;177242
Happiness Academia em Movimento;2020/01;507;64503;57087;19179;17823;34617
CF Blackfoxx;2020/01;81;14670;12456;2159;4378;0
Crossfit Locomotiva;2020/01;140;43766;31379;8418;12764;3217
ACADEMIA LIFE FITNESS;2020/01;289;35807;35946;1563;6062;19944
ACADEMIA SKY BLUE;2020/01;379;35984;38956;6696;12860;11797
Crossfit High Pulse - Matriz;2020/01;150;26953;36771;20014;1255;35221
ESTÚDIO PERSONALE;2020/01;112;57346;56809;17267;0;12080
CROSSFIT SCAR;2020/01;118;42884;23357;1798;8067;0
Studio Rafael Alvares metodologia de treinamento fisico;2020/01;27;8610;8610;0;0;6598
05 PHD SPORTS - PORTÃO 2983;2020/01;403;49759;46406;3463;23567;37057
STUDIO LABFIT;2020/01;29;31146;31146;0;0;22794
Crossfit IG;2020/01;168;65431;41568;18668;120;0
ESYSP Estudio de Yoga São Paulo;2020/01;60;17628;30612;5528;5675;25165
King of Kings CrossFit;2020/01;45;16281;16281;0;0;0
Infante Crossfit;2020/01;93;15157;15410;623;9968;0
Pilates Equipe Atlética;2020/01;36;7961;10379;2418;0;0
ESTIVADORES FRG;2020/01;153;34531;29990;2235;15201;19819
Dynamo 1;2020/01;931;146757;182580;83671;44666;165064
Go fit Academia;2020/01;449;57892;47029;4384;21476;664
UM CrossFit;2020/01;65;6210;12275;2782;3022;5685
Academia Reset;2020/01;713;76523;71462;0;38419;30662
Box Cross C3;2020/01;79;16325;14113;1800;0;0
MET Treinamento Físico Funcional;2020/01;56;8559;12817;6953;0;9505
Carpe Diem Studio;2020/01;3;6048;445;445;0;0
Milhas Assessoria Esportiva;2020/01;246;56760;43635;25035;5253;27116
CROSSFIT MARINGA;2020/01;332;61980;75611;26504;8479;16025
FONTOURA PERSONAL;2020/01;31;3930;3890;0;0;730
Crossfit 828;2020/01;140;33668;33371;5717;2324;33009
Studio Wings pole aerials dance;2020/01;40;9326;8473;184;298;9806
Champions Box;2020/01;86;10256;8512;729;5504;1414
Personal Place;2020/01;748;101730;82357;25251;18374;16030
Crossfit High Pulse - Linha Verde;2020/01;97;24005;16401;12348;0;14650
Crossfit High Pulse - Maestro;2020/01;113;28399;27536;8010;7847;19625
Red Dança e Comportamento;2020/01;58;13136;15266;1185;5056;20554
Eleven Fit;2020/01;802;74389;129443;15245;18154;131925
CFT OLYMPUS;2020/01;51;12831;8795;1795;2234;0
UNIDADE 2 ALMIRANTE;2020/01;429;46237;36871;18862;2368;0
ESTUDIO MAIS PILATES;2020/01;40;22379;13346;3641;1161;0
Top Fit Saúde e Performance;2020/01;59;11098;11098;0;0;1533
Touros Fit;2020/01;52;9288;9021;78;3220;1957
Cross Health Treinamento Especializado;2020/01;132;32539;36296;4099;0;29699
Hatha Vinyasa Yoga por Camila Reitz;2020/01;80;22177;20795;1129;11338;14079
P1 Fitness Center;2020/01;987;121509;140310;11560;25572;129181
CrossFit Congonhas;2020/01;171;36491;36491;0;0;0
Marhaba Dança;2020/01;64;23130;17099;1683;9529;6760
Crossfit High Pulse - Araucária;2020/01;75;14862;10889;4801;477;0
Crossfit High Pulse - Alphaville;2020/01;107;16924;15725;5330;0;0
