"CO_ISIC_CLASSE";"NO_ISIC_CLASSE";"NO_ISIC_CLASSE_ING";"NO_ISIC_CLASSE_ESP";"CO_ISIC_GRUPO";"NO_ISIC_GRUPO";"NO_ISIC_GRUPO_ING";"NO_ISIC_GRUPO_ESP";"CO_ISIC_DIVISAO";"NO_ISIC_DIVISAO";"NO_ISIC_DIVISAO_ING";"NO_ISIC_DIVISAO_ESP";"CO_ISIC_SECAO";"NO_ISIC_SECAO";"NO_ISIC_SECAO_ING";"NO_ISIC_SECAO_ESP"
"0149";"Criação de outros animais";"Raising of other animals";"Criação de outros animais";"014";"Produção animal";"Animal production";"Produção animal";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0146";"Criação de aves de capoeira";"Raising of poultry";"Criação de aves de capoeira";"014";"Produção animal";"Animal production";"Produção animal";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0145";"Criação de suínos";"Raising of swine/pigs";"Criação de suínos";"014";"Produção animal";"Animal production";"Produção animal";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0144";"Criação de ovelhas e cabras";"Raising of sheep and goats";"Criação de ovelhas e cabras";"014";"Produção animal";"Animal production";"Produção animal";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0143";"Criação de camelos e camelídeos";"Raising of camels and camelids";"Criação de camelos e camelídeos";"014";"Produção animal";"Animal production";"Produção animal";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0142";"Criação de cavalos e outros equinos";"Raising of horses and other equines";"Criação de cavalos e outros equinos";"014";"Produção animal";"Animal production";"Produção animal";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0141";"Criação de gado e búfalos";"Raising of cattle and buffaloes";"Criação de gado e búfalos";"014";"Produção animal";"Animal production";"Produção animal";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"2029";"Fabricação de outros produtos químicos n.c";"Manufacture of other chemical products n.e.c.";"Fabricação de outros produtos químicos n.c";"202";"Fabricação de outros produtos químicos";"Manufacture of other chemical products";"Fabricação de outros produtos químicos";"20";"Fabricação de produtos químicos";"Manufacture of chemicals and chemical products";"Fabricação de produtos químicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2023";"Fabricação de sabão e detergentes, produtos de limpeza e polimento, perfumes e produtos de toilette";"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations";"Fabricação de sabão e detergentes, produtos de limpeza e polimento, perfumes e produtos de toilette";"202";"Fabricação de outros produtos químicos";"Manufacture of other chemical products";"Fabricação de outros produtos químicos";"20";"Fabricação de produtos químicos";"Manufacture of chemicals and chemical products";"Fabricação de produtos químicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2022";"Fabricação de tintas, vernizes e produtos similares, tintas de impressão e mástiques";"Manufacture of paints, varnishes and similar coatings, printing ink and mastics";"Fabricação de tintas, vernizes e produtos similares, tintas de impressão e mástiques";"202";"Fabricação de outros produtos químicos";"Manufacture of other chemical products";"Fabricação de outros produtos químicos";"20";"Fabricação de produtos químicos";"Manufacture of chemicals and chemical products";"Fabricação de produtos químicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2021";"Fabricação de pesticidas e outros produtos agroquímicos";"Manufacture of pesticides and other agrochemical products";"Fabricação de pesticidas e outros produtos agroquímicos";"202";"Fabricação de outros produtos químicos";"Manufacture of other chemical products";"Fabricação de outros produtos químicos";"20";"Fabricação de produtos químicos";"Manufacture of chemicals and chemical products";"Fabricação de produtos químicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2432";"Fundição de metais não ferrosos";"Casting of non-ferrous metals";"Fundição de metais não ferrosos";"243";"Fundição de metais";"Casting of metals";"Fundição de metais";"24";"Fabricação de metais básicos";"Manufacture of basic metals";"Fabricação de metais básicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2431";"Fundição de ferro e aço";"Casting of iron and steel";"Fundição de ferro e aço";"243";"Fundição de metais";"Casting of metals";"Fundição de metais";"24";"Fabricação de metais básicos";"Manufacture of basic metals";"Fabricação de metais básicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2520";"Fabricação de armas e munições";"Manufacture of weapons and ammunition";"Fabricação de armas e munições";"252";"Fabricação de armas e munições";"Manufacture of weapons and ammunition";"Fabricação de armas e munições";"25";"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos";"Manufacture of fabricated metal products, except machinery and equipment";"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"4100";"Construção de edifícios";"Construction of buildings";"Construção de edifícios";"410";"Construção de edifícios";"Construction of buildings";"Construção de edifícios";"41";"Construção de edifícios";"Construction of buildings";"Construção de edifícios";"D";"Outros Produtos";"Other products";"Outros Produtos"
"1420";"Fabricação de artigos de peles";"Manufacture of articles of fur";"Fabricação de artigos de peles";"142";"Fabricação de artigos de peles";"Manufacture of articles of fur";"Fabricação de artigos de peles";"14";"Fabricação de vestuário";"Manufacture of wearing apparel";"Fabricação de vestuário";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1430";"Fabricação de vestuário de malha";"Manufacture of knitted and crocheted apparel";"Fabricação de vestuário de malha";"143";"Fabricação de vestuário de malha";"Manufacture of knitted and crocheted apparel";"Fabricação de vestuário de malha";"14";"Fabricação de vestuário";"Manufacture of wearing apparel";"Fabricação de vestuário";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1512";"Fabricação de malas, bolsas e semelhantes, selaria e arreios";"Manufacture of luggage, handbags and the like, saddlery and harness";"Fabricação de malas, bolsas e semelhantes, selaria e arreios";"151";"Curtimento e vestuário de couro; fabricação de malas, bolsas, selaria e arreios";"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur";"Curtimento e vestuário de couro; fabricação de malas, bolsas, selaria e arreios";"15";"Fabricação de couro e produtos afins";"Manufacture of leather and related products";"Fabricação de couro e produtos afins";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1511";"Curtimento e vestuário de couro";"Tanning and dressing of leather; dressing and dyeing of fur";"Curtimento e vestuário de couro";"151";"Curtimento e vestuário de couro; fabricação de malas, bolsas, selaria e arreios";"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur";"Curtimento e vestuário de couro; fabricação de malas, bolsas, selaria e arreios";"15";"Fabricação de couro e produtos afins";"Manufacture of leather and related products";"Fabricação de couro e produtos afins";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"8423";"Ordem pública e atividades de segurança";"Public order and safety activities";"Ordem pública e atividades de segurança";"842";"Prestação de serviços à comunidade como um todo";"Provision of services to the community as a whole";"Prestação de serviços à comunidade como um todo";"84";"Administração pública e defesa; segurança social obrigatória";"Public administration and defence; compulsory social security";"Administração pública e defesa; segurança social obrigatória";"D";"Outros Produtos";"Other products";"Outros Produtos"
"8422";"Atividades de defesa";"Defence activities";"Atividades de defesa";"842";"Prestação de serviços à comunidade como um todo";"Provision of services to the community as a whole";"Prestação de serviços à comunidade como um todo";"84";"Administração pública e defesa; segurança social obrigatória";"Public administration and defence; compulsory social security";"Administração pública e defesa; segurança social obrigatória";"D";"Outros Produtos";"Other products";"Outros Produtos"
"8421";"Negócios Estrangeiros";"Foreign affairs";"Negócios Estrangeiros";"842";"Prestação de serviços à comunidade como um todo";"Provision of services to the community as a whole";"Prestação de serviços à comunidade como um todo";"84";"Administração pública e defesa; segurança social obrigatória";"Public administration and defence; compulsory social security";"Administração pública e defesa; segurança social obrigatória";"D";"Outros Produtos";"Other products";"Outros Produtos"
"2829";"Fabricação de outras máquinas para fins especiais";"Manufacture of other special-purpose machinery";"Fabricação de outras máquinas para fins especiais";"282";"Fabricação de máquinas para fins especiais";"Manufacture of special-purpose machinery";"Fabricação de máquinas para fins especiais";"28";"Fabricação de máquinas e equipamentos n.c";"Manufacture of machinery and equipment n.e.c.";"Fabricação de máquinas e equipamentos n.c";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2826";"Fabricação de máquinas para produção de têxteis, vestuário e couro";"Manufacture of machinery for textile, apparel and leather production";"Fabricação de máquinas para produção de têxteis, vestuário e couro";"282";"Fabricação de máquinas para fins especiais";"Manufacture of special-purpose machinery";"Fabricação de máquinas para fins especiais";"28";"Fabricação de máquinas e equipamentos n.c";"Manufacture of machinery and equipment n.e.c.";"Fabricação de máquinas e equipamentos n.c";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2825";"Fabricação de máquinas para processamento de alimentos, bebidas e tabaco";"Manufacture of machinery for food, beverage and tobacco processing";"Fabricação de máquinas para processamento de alimentos, bebidas e tabaco";"282";"Fabricação de máquinas para fins especiais";"Manufacture of special-purpose machinery";"Fabricação de máquinas para fins especiais";"28";"Fabricação de máquinas e equipamentos n.c";"Manufacture of machinery and equipment n.e.c.";"Fabricação de máquinas e equipamentos n.c";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2824";"Fabricação de máquinas para mineração, exploração de pedreiras e construção";"Manufacture of machinery for mining, quarrying and construction";"Fabricação de máquinas para mineração, exploração de pedreiras e construção";"282";"Fabricação de máquinas para fins especiais";"Manufacture of special-purpose machinery";"Fabricação de máquinas para fins especiais";"28";"Fabricação de máquinas e equipamentos n.c";"Manufacture of machinery and equipment n.e.c.";"Fabricação de máquinas e equipamentos n.c";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2823";"Fabricação de máquinas para metalurgia";"Manufacture of machinery for metallurgy";"Fabricação de máquinas para metalurgia";"282";"Fabricação de máquinas para fins especiais";"Manufacture of special-purpose machinery";"Fabricação de máquinas para fins especiais";"28";"Fabricação de máquinas e equipamentos n.c";"Manufacture of machinery and equipment n.e.c.";"Fabricação de máquinas e equipamentos n.c";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2822";"Fabricação de máquinas e máquinas-ferramentas para moldagem de metais";"Manufacture of metal-forming machinery and machine tools";"Fabricação de máquinas e máquinas-ferramentas para moldagem de metais";"282";"Fabricação de máquinas para fins especiais";"Manufacture of special-purpose machinery";"Fabricação de máquinas para fins especiais";"28";"Fabricação de máquinas e equipamentos n.c";"Manufacture of machinery and equipment n.e.c.";"Fabricação de máquinas e equipamentos n.c";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2821";"Fabricação de maquinaria agrícola e florestal";"Manufacture of agricultural and forestry machinery";"Fabricação de maquinaria agrícola e florestal";"282";"Fabricação de máquinas para fins especiais";"Manufacture of special-purpose machinery";"Fabricação de máquinas para fins especiais";"28";"Fabricação de máquinas e equipamentos n.c";"Manufacture of machinery and equipment n.e.c.";"Fabricação de máquinas e equipamentos n.c";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1104";"Fabricação de refrigerantes; produção de águas minerais e outras águas engarrafadas";"Manufacture of soft drinks; production of mineral waters and other bottled waters";"Fabricação de refrigerantes; produção de águas minerais e outras águas engarrafadas";"110";"Fabricação de bebidas";"Manufacture of beverages";"Fabricação de bebidas";"11";"Fabricação de bebidas";"Manufacture of beverages";"Fabricação de bebidas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1103";"Fabricação de malte e bebidas maltadas.";"Manufacture of malt liquors and malt";"Fabricação de malte e bebidas maltadas.";"110";"Fabricação de bebidas";"Manufacture of beverages";"Fabricação de bebidas";"11";"Fabricação de bebidas";"Manufacture of beverages";"Fabricação de bebidas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1102";"Fabricação de vinhos";"Manufacture of wines";"Fabricação de vinhos";"110";"Fabricação de bebidas";"Manufacture of beverages";"Fabricação de bebidas";"11";"Fabricação de bebidas";"Manufacture of beverages";"Fabricação de bebidas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1101";"Fabricação de aguardentes e outras bebidas destiladas";"Distilling, rectifying and blending of spirits";"Fabricação de aguardentes e outras bebidas destiladas";"110";"Fabricação de bebidas";"Manufacture of beverages";"Fabricação de bebidas";"11";"Fabricação de bebidas";"Manufacture of beverages";"Fabricação de bebidas";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"7990";"Outros serviços de reservas e atividades relacionadas";"Other reservation service and related activities";"Outros serviços de reservas e atividades relacionadas";"799";"Outros serviços de reservas e atividades relacionadas";"Other reservation service and related activities";"Outros serviços de reservas e atividades relacionadas";"79";"Agência de viagens, operadora de turismo, serviço de reservas e atividades relacionadas";"Travel agency, tour operator, reservation service and related activities";"Agência de viagens, operadora de turismo, serviço de reservas e atividades relacionadas";"D";"Outros Produtos";"Other products";"Outros Produtos"
"8030";"Atividades de investigação";"Investigation activities";"Atividades de investigação";"803";"Atividades de investigação";"Investigation activities";"Atividades de investigação";"80";"Atividades de segurança e investigação";"Security and investigation activities";"Atividades de segurança e investigação";"D";"Outros Produtos";"Other products";"Outros Produtos"
"4723";"Comércio varejista de produtos de tabaco em estabelecimentos especializados";"Retail sale of tobacco products in specialized stores";"Comércio varejista de produtos de tabaco em estabelecimentos especializados";"472";"Comércio varejista de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados";"Retail sale of food, beverages and tobacco in specialized stores";"Comércio varejista de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados";"47";"Comércio varejista, exceto de veículos automóveis e motociclos";"Retail trade, except of motor vehicles and motorcycles";"Comércio varejista, exceto de veículos automóveis e motociclos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"4722";"Comércio varejista de bebidas em estabelecimentos especializados";"Retail sale of beverages in specialized stores";"Comércio varejista de bebidas em estabelecimentos especializados";"472";"Comércio varejista de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados";"Retail sale of food, beverages and tobacco in specialized stores";"Comércio varejista de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados";"47";"Comércio varejista, exceto de veículos automóveis e motociclos";"Retail trade, except of motor vehicles and motorcycles";"Comércio varejista, exceto de veículos automóveis e motociclos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"4721";"Comércio varejista de alimentos em estabelecimentos especializados";"Retail sale of food in specialized stores";"Comércio varejista de alimentos em estabelecimentos especializados";"472";"Comércio varejista de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados";"Retail sale of food, beverages and tobacco in specialized stores";"Comércio varejista de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados";"47";"Comércio varejista, exceto de veículos automóveis e motociclos";"Retail trade, except of motor vehicles and motorcycles";"Comércio varejista, exceto de veículos automóveis e motociclos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"6419";"Outra intermediação monetária";"Other monetary intermediation";"Outra intermediação monetária";"641";"Intermediação Monetária";"Monetary intermediation";"Intermediação Monetária";"64";"Atividades de serviços financeiros, exceto seguros e fundos de pensão";"Financial service activities, except insurance and pension funding";"Atividades de serviços financeiros, exceto seguros e fundos de pensão";"D";"Outros Produtos";"Other products";"Outros Produtos"
"6411";"Banco Central";"Central banking";"Banco Central";"641";"Intermediação Monetária";"Monetary intermediation";"Intermediação Monetária";"64";"Atividades de serviços financeiros, exceto seguros e fundos de pensão";"Financial service activities, except insurance and pension funding";"Atividades de serviços financeiros, exceto seguros e fundos de pensão";"D";"Outros Produtos";"Other products";"Outros Produtos"
"1709";"Fabricação de outros artigos de papel e cartão";"Manufacture of other articles of paper and paperboard";"Fabricação de outros artigos de papel e cartão";"170";"Fabricação de papel e produtos de papel";"Manufacture of paper and paper products";"Fabricação de papel e produtos de papel";"17";"Fabricação de papel e produtos de papel";"Manufacture of paper and paper products";"Fabricação de papel e produtos de papel";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1702";"Fabricação de papel e cartão canelados e de embalagens de papel e cartão";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard";"Fabricação de papel e cartão canelados e de embalagens de papel e cartão";"170";"Fabricação de papel e produtos de papel";"Manufacture of paper and paper products";"Fabricação de papel e produtos de papel";"17";"Fabricação de papel e produtos de papel";"Manufacture of paper and paper products";"Fabricação de papel e produtos de papel";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"1701";"Fabricação de polpa, papel e cartão";"Manufacture of pulp, paper and paperboard";"Fabricação de polpa, papel e cartão";"170";"Fabricação de papel e produtos de papel";"Manufacture of paper and paper products";"Fabricação de papel e produtos de papel";"17";"Fabricação de papel e produtos de papel";"Manufacture of paper and paper products";"Fabricação de papel e produtos de papel";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"0150";"Agricultura mista";"Mixed farming";"Agricultura mista";"015";"Agricultura mista";"Mixed farming";"Agricultura mista";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0312";"Pesca de água doce";"Freshwater fishing";"Pesca de água doce";"031";"Pesca";"Fishing";"Pesca";"03";"Pesca e Aquicultura";"Fishing and aquaculture";"Pesca e Aquicultura";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0311";"Pesca marinha";"Marine fishing";"Pesca marinha";"031";"Pesca";"Fishing";"Pesca";"03";"Pesca e Aquicultura";"Fishing and aquaculture";"Pesca e Aquicultura";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"4912";"Transporte ferroviário de mercadorias";"Freight rail transport";"Transporte ferroviário de mercadorias";"491";"Transporte via ferrovia";"Transport via railways";"Transporte via ferrovia";"49";"Transporte terrestre e transporte por meio de gasodutos";"Land transport and transport via pipelines";"Transporte terrestre e transporte por meio de gasodutos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"4911";"Transporte ferroviário de passageiros interurbanos";"Passenger rail transport, interurban";"Transporte ferroviário de passageiros interurbanos";"491";"Transporte via ferrovia";"Transport via railways";"Transporte via ferrovia";"49";"Transporte terrestre e transporte por meio de gasodutos";"Land transport and transport via pipelines";"Transporte terrestre e transporte por meio de gasodutos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"4923";"Transporte de mercadorias por estrada";"Freight transport by road";"Transporte de mercadorias por estrada";"492";"Outro transporte terrestre";"Other land transport";"Outro transporte terrestre";"49";"Transporte terrestre e transporte por meio de gasodutos";"Land transport and transport via pipelines";"Transporte terrestre e transporte por meio de gasodutos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"4922";"Outro transporte terrestre de passageiros";"Other passenger land transport";"Outro transporte terrestre de passageiros";"492";"Outro transporte terrestre";"Other land transport";"Outro transporte terrestre";"49";"Transporte terrestre e transporte por meio de gasodutos";"Land transport and transport via pipelines";"Transporte terrestre e transporte por meio de gasodutos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"4921";"Transporte terrestre urbano e suburbano de passageiros";"Urban and suburban passenger land transport";"Transporte terrestre urbano e suburbano de passageiros";"492";"Outro transporte terrestre";"Other land transport";"Outro transporte terrestre";"49";"Transporte terrestre e transporte por meio de gasodutos";"Land transport and transport via pipelines";"Transporte terrestre e transporte por meio de gasodutos";"D";"Outros Produtos";"Other products";"Outros Produtos"
"6399";"Outras atividades de serviços de informação n.e.c.";"Other information service activities n.e.c.";"Outras atividades de serviços de informação n.e.c.";"639";"Outras atividades de serviços de informação";"Other information service activities";"Outras atividades de serviços de informação";"63";"Atividades de serviços de informação";"Information service activities";"Atividades de serviços de informação";"D";"Outros Produtos";"Other products";"Outros Produtos"
"6391";"Atividades de agências noticiosas";"News agency activities";"Atividades de agências noticiosas";"639";"Outras atividades de serviços de informação";"Other information service activities";"Outras atividades de serviços de informação";"63";"Atividades de serviços de informação";"Information service activities";"Atividades de serviços de informação";"D";"Outros Produtos";"Other products";"Outros Produtos"
"2013";"Fabricação de plásticos e borracha sintética em formas primárias";"Manufacture of plastics and synthetic rubber in primary forms";"Fabricação de plásticos e borracha sintética em formas primárias";"201";"Fabricação de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias";"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms";"Fabricação de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias";"20";"Fabricação de produtos químicos";"Manufacture of chemicals and chemical products";"Fabricação de produtos químicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2012";"Fabricação de fertilizantes e compostos nitrogenados";"Manufacture of fertilizers and nitrogen compounds";"Fabricação de fertilizantes e compostos nitrogenados";"201";"Fabricação de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias";"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms";"Fabricação de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias";"20";"Fabricação de produtos químicos";"Manufacture of chemicals and chemical products";"Fabricação de produtos químicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2011";"Fabricação de produtos químicos básicos";"Manufacture of basic chemicals";"Fabricação de produtos químicos básicos";"201";"Fabricação de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias";"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms";"Fabricação de produtos químicos básicos, fertilizantes e compostos nitrogenados, plásticos e borracha sintética em formas primárias";"20";"Fabricação de produtos químicos";"Manufacture of chemicals and chemical products";"Fabricação de produtos químicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"2030";"Fabricação de fibras sintéticas ou artificiais";"Manufacture of man-made fibres";"Fabricação de fibras sintéticas ou artificiais";"203";"Fabricação de fibras sintéticas ou artificiais";"Manufacture of man-made fibres";"Fabricação de fibras sintéticas ou artificiais";"20";"Fabricação de produtos químicos";"Manufacture of chemicals and chemical products";"Fabricação de produtos químicos";"C";"Indústria de Transformação";"Manufacturing";"Indústria de Transformação"
"8430";"Atividades de segurança social obrigatórias";"Compulsory social security activities";"Atividades de segurança social obrigatórias";"843";"Atividades de segurança social obrigatórias";"Compulsory social security activities";"Atividades de segurança social obrigatórias";"84";"Administração pública e defesa; segurança social obrigatória";"Public administration and defence; compulsory social security";"Administração pública e defesa; segurança social obrigatória";"D";"Outros Produtos";"Other products";"Outros Produtos"
